bedroom_count,net_sqm,center_distance,metro_distance,floor,age,price
1,26.18409786,1286.68,204.0038173,22,67,96004.80456
1,34.86690091,1855.25,186.9803604,8,30,92473.72257
1,36.98070899,692.09,111.2249992,24,24,98112.51994
1,17.44572314,1399.49,237.99876,1,66,92118.32687
1,52.58764598,84.65,100.9963995,20,3,98976.65318
1,22.42558366,1901.1,218.6034209,6,23,91491.71411
1,33.03390008,1833.94,159.8936574,21,0,93381.40944
1,27.8834803,1384.89,145.1700251,14,12,93503.2846
1,69.76510032,640.89,130.3937753,12,18,98708.32355
1,37.79624701,1754.86,195.9892863,23,80,90417.77739
1,25.97224889,980.75,94.35125082,5,53,90826.72262
1,15.82402937,220.44,42.03276164,23,9,96201.26133
1,55.78965932,398.23,52.52441637,5,73,92331.7413
1,18.11714673,948.58,160.0761537,17,83,95406.64328
1,12.95361297,970.14,77.05468681,14,18,92388.24023
1,24.89051935,512.25,61.75588508,3,71,91176.86558
1,46.63392339,1390.39,82.43031303,18,41,92008.38617
1,39.02332911,1392.06,157.9663298,7,62,93067.11075
1,45.29741933,1991.02,222.4136099,7,35,90377.29847
1,40.56898464,1999.52,142.848549,21,31,93390.72322
1,47.30642962,1452.09,244.1758312,1,54,91745.7127
1,28.35429374,1123.37,28.38501627,7,51,91118.25201
1,33.63528629,1146.35,105.4594259,11,82,91642.50275
1,55.55520827,661.01,50.1317075,20,65,94111.59723
1,17.64022343,1703.53,229.9566607,8,31,91784.44117
1,34.42418622,836.6,148.7619385,13,34,93281.38693
1,26.85237161,110.1,17.65637128,21,25,99134.76255
1,16.90575544,242.86,40.76552598,22,60,96919.52438
1,54.44852993,1835.76,120.8291126,1,26,88051.51093
1,32.07543847,1300.11,17.97007659,9,62,89539.04085
1,38.63497644,1992.27,161.9086925,10,20,89185.12773
1,36.07427806,325.13,37.07914846,17,12,96514.31063
1,45.03262177,821.4,135.440534,20,0,98028.86045
1,10.98954488,207.55,78.79849244,2,85,95157.32326
1,51.17487222,730.03,46.33635913,20,81,94831.82138
1,15.64012046,1479.34,118.0254625,20,45,93512.2116
1,51.95996181,1426.65,75.97085175,14,43,90188.07452
1,31.20640958,1725.46,69.97789047,2,6,89399.44754
1,37.55036191,1141.37,200.2620698,1,65,94072.05953
1,24.18268234,1897.85,145.3238909,1,89,88488.23654
1,64.48834923,317.52,6.673084919,16,68,97784.60521
1,11.22495913,872.71,15.904132,4,45,90623.26291
1,38.88293554,70.03,45.17721779,15,20,98211.38964
1,44.00304303,791.05,60.55748599,24,3,95728.25048
1,77.61982634,1498.58,90.09887194,7,61,92986.53513
1,31.60912964,1507.25,154.9976249,3,66,90738.41513
1,52.79642061,1097.86,39.77579079,11,42,91038.94895
1,29.55405658,61.9,4.161888583,12,33,95844.5636
1,33.12160742,1935.93,195.6502935,23,47,93170.54149
