Pabrik,Seri,Tahun,newold,Warna,Jarak,Tipe,Pintu,Kursi,CC,Daerah,Harga
BMW,318i 1.8 1.8 Manual Sedan,1991,Bekas,Abu-abu,135 - 140K KM,Manual,4,4,1766,Banten,90000000
Isuzu,Panther 2.2 2.3 Manual SUV,1995,Bekas,Hijau,295 - 300K KM,Manual,5,7,2238,DKI Jakarta,45500000
Jeep,Grand Cherokee 4.7 Limited SUV,2002,Bekas,Hitam,125 - 130K KM,Automatic,5,5,4701,DKI Jakarta,125000000
Volkswagen,Caravelle 2.5 TDI MPV,2006,Bekas,Hitam,105 - 110K KM,Automatic,5,6,2461,DKI Jakarta,179000000
Nissan,Teana 2.3 230JS Sedan,2006,Bekas,Abu-abu,120 - 125K KM,Automatic,4,5,2349,DKI Jakarta,84000000
Honda,CR-V 2.0 2.0 i-VTEC SUV,2007,Bekas,Abu-abu,100000 KM,Automatic,5,5,1997,Yogyakarta,100000000
Toyota,Avanza 1.5 S MPV,2008,Bekas,Silver,175 - 180K KM,Automatic,5,7,1495,Jawa Tengah,99000000
Audi,A3 2.0 FSI Hatchback,2008,Bekas,Abu-abu,60 - 65K KM,Automatic,5,5,148,DKI Jakarta,134000000
Suzuki,Grand Vitara 2.0 JX SUV,2008,Bekas,Silver,93000 KM,Manual,5,5,1995,Jawa Timur,105000000
Honda,CR-V 2.4 2.4 i-VTEC SUV,2008,Bekas,Hitam,130000 KM,Automatic,5,5,2354,Jawa Timur,125000000
Toyota,Camry 2.4 V Sedan,2008,Bekas,Hitam,125 - 130K KM,Automatic,4,5,2362,DKI Jakarta,112000000
Toyota,Vellfire 2.4 Z Van Wagon,2009,Bekas,Abu-abu,50 - 55K KM,Automatic,5,7,2362,Jawa Timur,280000000
Toyota,Vellfire 2.4 Z Van Wagon,2009,Bekas,Silver,103000 KM,Automatic,5,7,2362,Jawa Barat,285000000
Honda,Jazz 1.5 RS Hatchback,2009,Bekas,Abu-abu,120 - 125K KM,Automatic,5,5,1496,Jawa Timur,139000000
Toyota,Camry 2.4 V Sedan,2009,Bekas,Hitam,180 - 185K KM,Automatic,4,5,2362,Jawa Timur,135000000
Toyota,Harrier 2.4 240G SUV,2009,Bekas,Hitam,95 - 100K KM,Automatic,5,5,2362,DKI Jakarta,179000000
Mercedes-Benz,S350 L 3.5 Sedan,2009,Bekas,Abu-abu,50 - 55K KM,Automatic,4,5,3498,DKI Jakarta,275000000
Toyota,Avanza 1.3 G MPV,2010,Bekas,Silver,85 - 90K KM,Manual,5,7,1298,Jawa Timur,107500000
Honda,Odyssey 2.4 2.4 MPV,2010,Bekas,Putih,75 - 80K KM,Automatic,5,7,2354,Jawa Timur,200000000
Mazda,CX-9 3.7 SUV,2010,Bekas,Hitam,130 - 135K KM,Automatic,5,7,3726,DKI Jakarta,189000000
Suzuki,Swift 1.5 ST Hatchback,2010,Bekas,Hitam,90 - 95K KM,Manual,5,5,1490,Lampung,89000000
Honda,Jazz 1.5 RS Hatchback,2010,Bekas,Abu-abu,193000 KM,Automatic,5,5,1496,Jawa Barat,138000000
Honda,Jazz 1.5 RS Hatchback,2010,Bekas,Hitam,75 - 80K KM,Automatic,5,5,1496,Jawa Timur,140000000
Honda,Jazz 1.5 RS Hatchback,2010,Bekas,Hitam,80 - 85K KM,Automatic,5,5,1496,Jawa Timur,140000000
Honda,Civic 1.8 Sedan,2010,Bekas,Hitam,150 - 155K KM,Automatic,4,5,1799,Jawa Timur,165000000
Mercedes-Benz,E300 3.0 Avantgarde AMG Sedan,2010,Bekas,Hitam,40 - 45K KM,Automatic,4,5,2996,Jawa Timur,320000000
Rolls-Royce,Phantom 6.7 Coupe,2010,Bekas,Silver,45 - 50K KM,Automatic,2,4,6749,DKI Jakarta,5000000000
Toyota,Kijang Innova 2.0 G MPV,2011,Bekas,Hitam,155 - 160K KM,Automatic,5,8,1998,DKI Jakarta,130000000
Lexus,LX570 5.7 SUV,2011,Bekas,Putih,35 - 40K KM,Automatic,5,8,5663,DKI Jakarta,1050000000
Toyota,Fortuner 2.5 G SUV,2011,Bekas,Hitam,160 - 165K KM,Automatic,5,7,101,DKI Jakarta,210000000
Toyota,Fortuner 2.5 G TRD SUV,2011,Bekas,Putih,105 - 110K KM,Automatic,5,7,101,Jawa Timur,250000000
Nissan,Serena 2.0 Highway Star MPV,2011,Bekas,Silver,70000 KM,Automatic,5,7,1998,Jawa Barat,125000000
Toyota,Alphard 2.4 S MPV,2011,Bekas,Putih,55 - 60K KM,Automatic,5,7,2362,Jawa Timur,300000000
Toyota,Fortuner 2.7 G Luxury SUV,2011,Bekas,Abu-abu,90 - 95K KM,Automatic,5,7,2694,DKI Jakarta,198000000
Nissan,Juke 1.5 1.5 CVT SUV,2011,Bekas,Putih,85 - 90K KM,Automatic,5,5,1498,Jawa Timur,139000000
Mercedes-Benz,C200 1.8 CGI Avantgarde Sedan,2011,Bekas,Silver,95 - 100K KM,Automatic,4,5,1796,Jawa Barat,260000000
Honda,Civic 1.8 Sedan,2011,Bekas,Hitam,90000 KM,Automatic,4,5,1799,Jawa Barat,170000000
BMW,523i 2.5 Executive Sedan,2011,Bekas,Hitam,65 - 70K KM,Automatic,4,5,2497,DKI Jakarta,279000000
Mercedes-Benz,E300 3.0 Elegance Sedan,2011,Bekas,Abu-abu,70 - 75K KM,Automatic,4,5,2996,DKI Jakarta,230000000
Mercedes-Benz,E300 3.0 Avantgarde AMG Sedan,2011,Bekas,Coklat,25 - 30K KM,Automatic,4,5,2996,DKI Jakarta,325000000
Toyota,Kijang Innova 2.5 G MPV,2012,Bekas,Silver,160 - 165K KM,Automatic,5,8,2494,Jawa Timur,205000000
Daihatsu,Xenia 1.3 R MPV,2012,Bekas,Merah,100 - 105K KM,Automatic,5,7,1298,Jawa Barat,104000000
Suzuki,Ertiga 1.4 GX MPV,2012,Bekas,Abu-abu,85 - 90K KM,Manual,5,7,1373,Jawa Timur,120000000
Honda,Freed 1.5 S MPV,2012,Bekas,Putih,110 - 115K KM,Automatic,5,7,1497,DKI Jakarta,139000000
Honda,Freed 1.5 E MPV,2012,Bekas,Abu-abu,60000 KM,Automatic,5,7,1497,Jawa Barat,165000000
Nissan,Evalia 1.5 XV MPV,2012,Bekas,Hitam,110 - 115K KM,Automatic,5,7,1498,DKI Jakarta,89000000
Nissan,Grand Livina 1.5 XV MPV,2012,Bekas,Hitam,85 - 90K KM,Automatic,5,7,1498,Jawa Timur,90000000
Nissan,Grand Livina 1.5 XV MPV,2012,Bekas,Hitam,85 - 90K KM,Automatic,5,7,1498,Jawa Timur,90000000
Toyota,Alphard 2.4 SC MPV,2012,Bekas,Hitam,85 - 90K KM,Automatic,5,7,2362,DKI Jakarta,309000000
Toyota,Alphard 2.4 G G MPV,2012,Bekas,Putih,80 - 85K KM,Automatic,5,7,2362,Jawa Timur,350000000
Mitsubishi,Pajero Sport 2.5 Dakar SUV,2012,Bekas,Coklat,95 - 100K KM,Automatic,5,7,2477,DKI Jakarta,235000000
Mitsubishi,Pajero Sport 2.5 Dakar SUV,2012,Bekas,Putih,80 - 85K KM,Automatic,5,7,2477,Yogyakarta,279500000
Hyundai,Avega 1.5 GX Sedan,2012,Bekas,Hitam,100 - 105K KM,Manual,4,5,1495,Banten,62000000
Mazda,2 1.5 S Hatchback,2012,Bekas,Putih,100 - 105K KM,Manual,5,5,1498,Jawa Timur,100000000
Nissan,Juke 1.5 RX SUV,2012,Bekas,Merah,110 - 115K KM,Automatic,5,5,1498,Jawa Timur,142500000
Audi,Q5 2.0 2.0 TFSI SUV,2012,Bekas,Hitam,140000 KM,Automatic,5,5,1984,DKI Jakarta,229000000
Honda,CR-V 2.4 2.4 i-VTEC SUV,2012,Bekas,Coklat,110 - 115K KM,Automatic,5,5,2354,DKI Jakarta,145000000
Honda,CR-V 2.4 2.4 SUV,2012,Bekas,Putih,70 - 75K KM,Automatic,5,5,2354,Jawa Timur,195000000
Honda,CR-V 2.4 2.4 SUV,2012,Bekas,Putih,70 - 75K KM,Automatic,5,5,2354,Jawa Timur,195000000
Honda,CR-V 2.4 2.4 SUV,2012,Bekas,Putih,70 - 75K KM,Automatic,5,5,2354,Jawa Timur,198000000
Nissan,X-Trail 2.5 X-Tremer SUV,2012,Bekas,Putih,65 - 70K KM,Automatic,5,5,2488,DKI Jakarta,165000000
Mercedes-Benz,E300 3.0 Avantgarde AMG Sedan,2012,Bekas,Coklat,85 - 90K KM,Automatic,4,5,2996,DKI Jakarta,298000000
Mercedes-Benz,E300 3.0 Avantgarde AMG Sedan,2012,Bekas,Hitam,65 - 70K KM,Automatic,4,5,2996,DKI Jakarta,299000000
Jeep,Wrangler 3.6 Sport Unlimited SUV,2012,Bekas,Orange,50 - 55K KM,Automatic,4,5,3604,Kalimantan Selatan,890000000
MINI,Cabrio 1.6 Cooper S Convertible,2012,Bekas,Putih,15 - 20K KM,Automatic,2,4,1598,DKI Jakarta,545000000
Mercedes-Benz,CLS350 3.5 AMG Coupe,2012,Bekas,Putih,25 - 30K KM,Automatic,4,4,3498,DKI Jakarta,515000000
Mazda,Biante 2.0 2.0 SKYACTIV A/T MPV,2013,Bekas,Hitam,100 - 105K KM,Automatic,5,8,1997,Jawa Timur,170000000
Toyota,Kijang Innova 2.0 G MPV,2013,Bekas,Putih,130 - 135K KM,Automatic,5,8,1998,Banten,152000000
Toyota,Avanza 1.3 G MPV,2013,Bekas,Abu-abu,90250 KM,Automatic,5,7,1298,DKI Jakarta,120000000
Daihatsu,Xenia 1.3 R DLX MPV,2013,Bekas,Coklat,20 - 25K KM,Automatic,5,7,1298,Jawa Timur,125000000
Suzuki,Ertiga 1.4 GL MPV,2013,Bekas,Putih,85 - 90K KM,Automatic,5,7,1373,DKI Jakarta,115000000
Suzuki,Ertiga 1.4 GX MPV,2013,Bekas,Hitam,55 - 60K KM,Manual,5,7,1373,Jawa Barat,121000000
Suzuki,Ertiga 1.4 GX MPV,2013,Bekas,Hitam,70 - 75K KM,Manual,5,7,1373,Jawa Barat,123000000
Honda,Freed 1.5 S MPV,2013,Bekas,Putih,80 - 85K KM,Automatic,5,7,1497,DKI Jakarta,138000000
Honda,Freed 1.5 E MPV,2013,Bekas,Putih,115 - 120K KM,Automatic,5,7,1497,Jawa Timur,165000000
Nissan,Grand Livina 1.5 SV MPV,2013,Bekas,Hitam,80 - 85K KM,Automatic,5,7,1498,DKI Jakarta,88000000
Nissan,Grand Livina 1.5 XV MPV,2013,Bekas,Abu-abu,110 - 115K KM,Manual,5,7,1498,DKI Jakarta,89000000
Nissan,Grand Livina 1.5 XV MPV,2013,Bekas,Silver,100 - 105K KM,Automatic,5,7,1498,DKI Jakarta,102000000
Nissan,Evalia 1.5 XV MPV,2013,Bekas,Silver,100 - 105K KM,Automatic,5,7,1498,Jawa Timur,109000000
Toyota,NAV1 2.0 V MPV,2013,Bekas,Hitam,75000 KM,Automatic,5,7,1987,DKI Jakarta,168500000
Nissan,Serena 2.0 Panoramic Autech MPV,2013,Bekas,Silver,100 - 105K KM,Automatic,5,7,1997,Jawa Timur,183500000
Toyota,Kijang Innova 2.0 V Luxury MPV,2013,Bekas,Putih,95 - 100K KM,Automatic,5,7,1998,DKI Jakarta,173000000
Toyota,Kijang Innova 2.0 G Luxury MPV,2013,Bekas,Hitam,95 - 100K KM,Automatic,5,7,1998,Yogyakarta,175000000
Toyota,Vellfire 2.4 ZG Van Wagon,2013,Bekas,Hitam,95 - 100K KM,Automatic,5,7,2362,Banten,370000000
Toyota,Vellfire 2.4 Z Van Wagon,2013,Bekas,Putih,95 - 100K KM,Automatic,5,7,2362,DKI Jakarta,405000000
Mitsubishi,Pajero Sport 2.5 Dakar SUV,2013,Bekas,Putih,145 - 150K KM,Automatic,5,7,2477,DKI Jakarta,255000000
Suzuki,Splash 1.2 Hatchback,2013,Bekas,Putih,60 - 65K KM,Automatic,5,5,1197,Jawa Timur,105000000
